,number_concepts,embedding_dimension,boc_model,document,accuracy,method
0,1.0,300.0,VLAD,cade,0.4136428068716828,Glove
1,2.0,300.0,VLAD,cade,0.4248243830355668,Glove
2,3.0,300.0,VLAD,cade,0.43434814708096897,Glove
3,4.0,300.0,VLAD,cade,0.4415307290273479,Glove
4,5.0,300.0,VLAD,cade,0.4423301514675904,Glove
5,6.0,300.0,VLAD,cade,0.4383977541411169,Glove
6,7.0,300.0,VLAD,cade,0.4424404184801615,Glove
7,8.0,300.0,VLAD,cade,0.4433832181748289,Glove
8,9.0,300.0,VLAD,cade,0.4443550720468312,Glove
9,10.0,300.0,VLAD,cade,0.4477654386938285,Glove
10,11.0,300.0,VLAD,cade,0.4480227273277408,Glove
11,12.0,300.0,VLAD,cade,0.4551156304097817,Glove
12,13.0,300.0,VLAD,cade,0.4578800495843254,Glove
13,14.0,300.0,VLAD,cade,0.457504350067967,Glove
14,15.0,300.0,VLAD,cade,0.4579538986393599,Glove
15,16.0,300.0,VLAD,cade,0.4598121183550032,Glove
16,17.0,300.0,VLAD,cade,0.4556552447119057,Glove
17,18.0,300.0,VLAD,cade,0.4558254598071084,Glove
18,19.0,300.0,VLAD,cade,0.4565954594689308,Glove
19,20.0,300.0,VLAD,cade,0.452371951372687,Glove
20,21.0,300.0,VLAD,cade,0.4525603555639161,Glove
21,22.0,300.0,VLAD,cade,0.4580851555887347,Glove
22,23.0,300.0,VLAD,cade,0.4566026237709308,Glove
23,24.0,300.0,VLAD,cade,0.4608652827838528,Glove
24,25.0,300.0,VLAD,cade,0.4587091306322196,Glove
25,26.0,300.0,VLAD,cade,0.4624768010658827,Glove
26,27.0,300.0,VLAD,cade,0.4635545248966527,Glove
27,28.0,300.0,VLAD,cade,0.462230856757709,Glove
28,29.0,300.0,VLAD,cade,0.4620496404715091,Glove
29,30.0,300.0,VLAD,cade,0.4627273110760009,Glove
30,1.0,300.0,VLAD_TFIDF,cade,0.4880426257233651,Glove
31,2.0,300.0,VLAD_TFIDF,cade,0.4862778990960012,Glove
32,3.0,300.0,VLAD_TFIDF,cade,0.4855903654650881,Glove
33,4.0,300.0,VLAD_TFIDF,cade,0.4868469074624093,Glove
34,5.0,300.0,VLAD_TFIDF,cade,0.4846448066713749,Glove
35,6.0,300.0,VLAD_TFIDF,cade,0.4807585817241641,Glove
36,7.0,300.0,VLAD_TFIDF,cade,0.4827096233000058,Glove
37,8.0,300.0,VLAD_TFIDF,cade,0.4813485250498367,Glove
38,9.0,300.0,VLAD_TFIDF,cade,0.4817869271067526,Glove
39,10.0,300.0,VLAD_TFIDF,cade,0.4813050949533962,Glove
40,11.0,300.0,VLAD_TFIDF,cade,0.4824139691023828,Glove
41,12.0,300.0,VLAD_TFIDF,cade,0.4801785853759637,Glove
42,13.0,300.0,VLAD_TFIDF,cade,0.4849196692167387,Glove
43,14.0,300.0,VLAD_TFIDF,cade,0.4820530199775141,Glove
44,15.0,300.0,VLAD_TFIDF,cade,0.4829835114895962,Glove
45,16.0,300.0,VLAD_TFIDF,cade,0.4799168738555213,Glove
46,17.0,300.0,VLAD_TFIDF,cade,0.4785530940422015,Glove
47,18.0,300.0,VLAD_TFIDF,cade,0.4747020392028028,Glove
48,19.0,300.0,VLAD_TFIDF,cade,0.4771442014629974,Glove
49,20.0,300.0,VLAD_TFIDF,cade,0.4779617635229697,Glove
50,21.0,300.0,VLAD_TFIDF,cade,0.4792417822722909,Glove
51,22.0,300.0,VLAD_TFIDF,cade,0.4778046309105651,Glove
52,23.0,300.0,VLAD_TFIDF,cade,0.4804285201770254,Glove
53,24.0,300.0,VLAD_TFIDF,cade,0.480277981668363,Glove
54,25.0,300.0,VLAD_TFIDF,cade,0.4814253048731249,Glove
55,26.0,300.0,VLAD_TFIDF,cade,0.4805660698136885,Glove
56,27.0,300.0,VLAD_TFIDF,cade,0.4789861318312708,Glove
57,28.0,300.0,VLAD_TFIDF,cade,0.4803565687125578,Glove
58,29.0,300.0,VLAD_TFIDF,cade,0.4769320079076493,Glove
59,30.0,300.0,VLAD_TFIDF,cade,0.4783132287843633,Glove
60,1.0,300.0,VLAD,cade,0.4208612294744981,W2V
61,2.0,300.0,VLAD,cade,0.4402038052777966,W2V
62,3.0,300.0,VLAD,cade,0.4480045638499801,W2V
63,4.0,300.0,VLAD,cade,0.45010665905383335,W2V
64,5.0,300.0,VLAD,cade,0.4535520441958466,W2V
65,6.0,300.0,VLAD,cade,0.4565050103508878,W2V
66,7.0,300.0,VLAD,cade,0.4526697453712556,W2V
67,8.0,300.0,VLAD,cade,0.4635967522620665,W2V
68,9.0,300.0,VLAD,cade,0.4650605168467232,W2V
69,10.0,300.0,VLAD,cade,0.4699890904247331,W2V
70,11.0,300.0,VLAD,cade,0.4632272157717807,W2V
71,12.0,300.0,VLAD,cade,0.4711258477727458,W2V
72,13.0,300.0,VLAD,cade,0.4689387063374018,W2V
73,14.0,300.0,VLAD,cade,0.4675190618962969,W2V
74,15.0,300.0,VLAD,cade,0.4710263301333125,W2V
75,16.0,300.0,VLAD,cade,0.46759233899872,W2V
76,17.0,300.0,VLAD,cade,0.4749115359858928,W2V
77,18.0,300.0,VLAD,cade,0.474799513692772,W2V
78,19.0,300.0,VLAD,cade,0.4774512234114089,W2V
79,20.0,300.0,VLAD,cade,0.471396897627678,W2V
80,21.0,300.0,VLAD,cade,0.4751065528021871,W2V
81,22.0,300.0,VLAD,cade,0.4754046035174629,W2V
82,23.0,300.0,VLAD,cade,0.4779472955356342,W2V
83,24.0,300.0,VLAD,cade,0.472319030044143,W2V
84,25.0,300.0,VLAD,cade,0.4774383437442029,W2V
85,26.0,300.0,VLAD,cade,0.478786143851711,W2V
86,27.0,300.0,VLAD,cade,0.4745264538139026,W2V
87,28.0,300.0,VLAD,cade,0.4796862715834889,W2V
88,29.0,300.0,VLAD,cade,0.4799156687714052,W2V
89,30.0,300.0,VLAD,cade,0.4812619985289756,W2V
90,1.0,300.0,VLAD_TFIDF,cade,0.4913501711253462,W2V
91,2.0,300.0,VLAD_TFIDF,cade,0.4937066068426729,W2V
92,3.0,300.0,VLAD_TFIDF,cade,0.4937462687928543,W2V
93,4.0,300.0,VLAD_TFIDF,cade,0.4892364796399343,W2V
94,5.0,300.0,VLAD_TFIDF,cade,0.4871290579747603,W2V
95,6.0,300.0,VLAD_TFIDF,cade,0.4908140535328408,W2V
96,7.0,300.0,VLAD_TFIDF,cade,0.487876341744358,W2V
97,8.0,300.0,VLAD_TFIDF,cade,0.4877546623435576,W2V
98,9.0,300.0,VLAD_TFIDF,cade,0.4873671378612902,W2V
99,10.0,300.0,VLAD_TFIDF,cade,0.4896855583861258,W2V
100,11.0,300.0,VLAD_TFIDF,cade,0.4883088107481998,W2V
